steps,rewards
1000,0.2552
2000,0.0768
3000,0.1984
4000,0.25060000000000004
5000,0.13079999999999997
6000,0.1335
7000,0.0
8000,0.0
9000,0.0739
10000,0.013600000000000001
11000,0.1668
12000,0.024399999999999998
13000,0.0452
14000,0.0595
15000,0.0
16000,0.1316
17000,0.0
18000,0.0
19000,0.0
20000,0.0
21000,0.9108999999999998
22000,0.7578999999999999
23000,0.6822999999999999
24000,0.47850000000000004
25000,0.28049999999999997
26000,0.9549999999999998
27000,0.9549999999999998
28000,0.9549999999999998
29000,0.9549999999999998
30000,0.9478
31000,0.946
32000,0.946
33000,0.9549999999999998
34000,0.9549999999999998
35000,0.9549999999999998
36000,0.9549999999999998
37000,0.9549999999999998
38000,0.9549999999999998
39000,0.9549999999999998
40000,0.9549999999999998
41000,0.9549999999999998
42000,0.9549999999999998
43000,0.9549999999999998
44000,0.9549999999999998
45000,0.9549999999999998
46000,0.9549999999999998
47000,0.9549999999999998
48000,0.9549999999999998
49000,0.9549999999999998
50000,0.9549999999999998
51000,0.9549999999999998
52000,0.9549999999999998
53000,0.9549999999999998
54000,0.9549999999999998
55000,0.9549999999999998
56000,0.9549999999999998
57000,0.9549999999999998
58000,0.9549999999999998
59000,0.9549999999999998
60000,0.9549999999999998
61000,0.9549999999999998
62000,0.9549999999999998
63000,0.9549999999999998
64000,0.9549999999999998
65000,0.9549999999999998
66000,0.9549999999999998
67000,0.9549999999999998
68000,0.9549999999999998
69000,0.9549999999999998
70000,0.9549999999999998
71000,0.9549999999999998
72000,0.9549999999999998
73000,0.9549999999999998
74000,0.9549999999999998
75000,0.9549999999999998
76000,0.9549999999999998
77000,0.9549999999999998
78000,0.9549999999999998
79000,0.9549999999999998
80000,0.9549999999999998
81000,0.9549999999999998
82000,0.9549999999999998
83000,0.9549999999999998
84000,0.9549999999999998
85000,0.9549999999999998
86000,0.9549999999999998
87000,0.9549999999999998
88000,0.9549999999999998
89000,0.9549999999999998
90000,0.9549999999999998
91000,0.9549999999999998
92000,0.9549999999999998
93000,0.9549999999999998
94000,0.9549999999999998
95000,0.9549999999999998
96000,0.9549999999999998
97000,0.9549999999999998
98000,0.9549999999999998
99000,0.9549999999999998
100000,0.9549999999999998
